NUTS,Location,Year,Company Type,Number of Companies,Productivity
NUTS I,Portugal Continental,2009,Mining and quarrying,1377,42777.6
NUTS III,Alto Minho,2009,Mining and quarrying,72,18616.7
NUTS III,Cávado,2009,Mining and quarrying,56,12645.5
NUTS III,Ave,2009,Mining and quarrying,55,16608.6
NUTS III,Área Metropolitana do Porto,2009,Mining and quarrying,54,18616.7
NUTS III,Alto Tâmega,2009,Mining and quarrying,54,19563
NUTS III,Tâmega e Sousa,2009,Mining and quarrying,91,14098.4
NUTS III,Douro,2009,Mining and quarrying,54,20810.9
NUTS III,Terras de Trás-os-Montes,2009,Mining and quarrying,15,22407.7
NUTS III,Oeste,2009,Mining and quarrying,101,32026.6
NUTS III,Região de Aveiro,2009,Mining and quarrying,40,32946
NUTS III,Região de Coimbra,2009,Mining and quarrying,67,27573.1
NUTS III,Região de Leiria,2009,Mining and quarrying,192,41254.6
NUTS III,Viseu Dão Lafões,2009,Mining and quarrying,52,32946
NUTS III,Beira Baixa,2009,Mining and quarrying,6,40276.3
NUTS III,Médio Tejo,2009,Mining and quarrying,17,32946
NUTS III,Beiras e Serra da Estrela,2009,Mining and quarrying,59,20231.9
NUTS III,Área Metropolitana de Lisboa,2009,Mining and quarrying,125,37902.1
NUTS III,Alentejo Litoral,2009,Mining and quarrying,11,38319.2
NUTS III,Baixo Alentejo,2009,Mining and quarrying,11,205143.7
NUTS III,Lezíria do Tejo,2009,Mining and quarrying,102,34722.7
NUTS III,Alto Alentejo,2009,Mining and quarrying,19,16735.8
NUTS III,Alentejo Central,2009,Mining and quarrying,69,18360.1
NUTS III,Algarve,2009,Mining and quarrying,55,26051.9
NUTS I,Portugal Continental,2009,Construction,111314,19934.8
NUTS III,Alto Minho,2009,Construction,4159,13007.1
NUTS III,Cávado,2009,Construction,4627,20114.1
NUTS III,Ave,2009,Construction,3568,15869.8
NUTS III,Área Metropolitana do Porto,2009,Construction,14011,22720.8
NUTS III,Alto Tâmega,2009,Construction,990,14227.6
NUTS III,Tâmega e Sousa,2009,Construction,4671,14996.6
NUTS III,Douro,2009,Construction,1875,12893.1
NUTS III,Terras de Trás-os-Montes,2009,Construction,1315,12523.7
NUTS III,Oeste,2009,Construction,5523,16202.2
NUTS III,Região de Aveiro,2009,Construction,5056,14499.1
NUTS III,Região de Coimbra,2009,Construction,6288,16065.2
NUTS III,Região de Leiria,2009,Construction,5421,20176.9
NUTS III,Viseu Dão Lafões,2009,Construction,3379,16043.6
NUTS III,Beira Baixa,2009,Construction,1032,13739.6
