NUTS,Location,Year,Election Type,PS,PSD,PCP,CDS,BE,Abstention
Município,Abrantes,2009,European,33.47,25.56,11.7,7.4,15.21,59.4
Município,Águeda,2009,European,27.73,39.35,5.67,12.39,9.5,67.5
Município,Aguiar da Beira,2009,European,17.75,60,1.75,12.8,4.2,69.7
Município,Alandroal,2009,European,37.66,11.29,37.71,2.62,6.89,57.7
Município,Albergaria-a-Velha,2009,European,21.7,41.63,5.36,17.06,9.4,66.3
Município,Albufeira,2009,European,24.97,33.51,9.01,9.37,15.75,71.2
Município,Alcácer do Sal,2009,European,29.55,10.84,39.75,3.27,10.18,60.6
Município,Alcanena,2009,European,28.14,32.21,11.56,9.87,11.54,59.6
Município,Alcobaça,2009,European,24.23,43.01,6.72,9.6,10.15,61.8
Município,Alcochete,2009,European,26.49,17.24,26.61,8.52,14.38,61.6
Município,Alcoutim,2009,European,33.81,41.67,9.58,5.94,4.41,65.9
Município,Alenquer,2009,European,35.59,22.67,17.77,6.76,10.2,59
NUTS II,Alentejo,2009,European,29.25,20.78,26.5,6.14,11.5,62.8
NUTS III,Alentejo Central,2009,European,27.89,19.25,31.09,5.39,11.08,60.9
NUTS III,Alentejo Litoral,2009,European,27.59,16.06,32.17,4.72,12.58,62.3
Município,Alfândega da Fé,2009,European,36.7,46.77,3.49,6.27,3.88,57.6
NUTS II,Algarve,2009,European,27.11,29.68,11.21,8.39,16.2,67.5
NUTS III,Algarve,2009,European,27.11,29.68,11.21,8.39,16.2,67.5
Município,Alijó,2009,European,34.46,43.25,4.48,7.74,6.12,66.7
Município,Aljezur,2009,European,32.82,18.29,19.54,5.63,13,63.9
Município,Aljustrel,2009,European,27.26,6.34,51.1,2.65,8.35,57.9
Município,Almada,2009,European,27.59,19.81,24,6.99,15.68,60.5
Município,Almeida,2009,European,25.19,47.09,4.7,9.09,7.79,66.2
Município,Almeirim,2009,European,33.36,22.58,16.14,7.95,13.33,66.8
Município,Almodôvar,2009,European,33.75,27.5,17.92,4.44,11.25,70
Município,Alpiarça,2009,European,23.22,10.67,47.88,4.69,8.96,57.8
Município,Alter do Chão,2009,European,29.12,26.53,22.37,8.01,8.01,59.5
NUTS III,Alto Alentejo,2009,European,33.06,25.51,19.07,6.6,10.23,63.4
NUTS III,Alto Minho,2009,European,27.28,40.84,6.6,11.27,9.86,67.4
NUTS III,Alto Tâmega,2009,European,26.5,54.94,3.75,7.21,4.83,69.5
Município,Alvaiázere,2009,European,13.38,69.52,2.32,7.91,3.42,63.1
Município,Alvito,2009,European,25.13,18.98,34.82,6.28,9.55,63
Município,Amadora,2009,European,30.99,23.5,16.67,8,14.21,60.6
Município,Amarante,2009,European,36.38,41.33,4.74,6.22,8,68.1
Município,Amares,2009,European,24.14,46.04,5.27,11.96,8.17,64.5
Município,Anadia,2009,European,20.79,49.02,5.03,11.79,8.81,64.9
Município,Ansião,2009,European,21.7,58.06,2.44,8.13,5.36,60.3
Município,Arcos de Valdevez,2009,European,26.62,52.52,2.86,8.45,6.37,75.1
NUTS II,Área Metropolitana de Lisboa,2009,European,27.71,25.04,17.17,8.66,14.41,60.3
NUTS III,Área Metropolitana de Lisboa,2009,European,27.71,25.04,17.17,8.66,14.41,60.3
NUTS III,Área Metropolitana do Porto,2009,European,31.76,33.54,8.8,8.98,11.64,58.8
Município,Arganil,2009,European,33.12,45.62,4.8,5.29,6.57,59.3
Município,Armamar,2009,European,19.23,50.92,7.49,12.63,4.75,66.1
Município,Arouca,2009,European,20.41,48.82,3.44,13.78,6.11,63.2
Município,Arraiolos,2009,European,21.16,12.47,49.42,3.61,8.83,53.8
Município,Arronches,2009,European,34.86,30.28,14.63,6.1,8.03,63.8
Município,Arruda dos Vinhos,2009,European,32.61,30.07,13.01,7.63,10.47,61.1
NUTS III,Ave,2009,European,35.39,32.6,7.72,11.7,8.44,59.6
Município,Aveiro,2009,European,21.22,37.48,6.18,14.14,14.17,61.6
Município,Avis,2009,European,19.06,12.8,54.33,3.42,6.93,47.5
Município,Azambuja,2009,European,32.08,20.5,19.02,6.6,14.4,61.4
Município,Baião,2009,European,43.95,38.14,4.42,5.34,5.27,68.8
NUTS III,Baixo Alentejo,2009,European,28.99,14.35,38.03,4.17,9.6,63.2
Município,Barcelos,2009,European,24.49,47.91,4.79,10.25,8.22,57.9
Município,Barrancos,2009,European,38.38,8.11,34.21,8.11,5.04,68.4
Município,Barreiro,2009,European,26.05,12.6,35.93,5.1,15.02,57.6
Município,Batalha,2009,European,16.15,51.06,2.69,13.7,10.04,56.7
NUTS III,Beira Baixa,2009,European,33.24,37.08,5.82,7.76,10.06,60.5
NUTS III,Beiras e Serra da Estrela,2009,European,31.23,37.72,7.68,8.22,10,65
Município,Beja,2009,European,25.6,16.46,34.39,5.39,13.3,61.2
Município,Belmonte,2009,European,32.13,33.96,10.2,6.45,11.57,68.3
Município,Benavente,2009,European,24.71,21.14,22,9.04,15.39,68
Município,Bombarral,2009,European,24.74,33.96,11.67,13.02,10.42,65.6
Município,Borba,2009,European,42.07,16.39,21.59,4.18,10.82,61.1
Município,Boticas,2009,European,16.99,71.78,3.42,2.97,2.38,63.1
Município,Braga,2009,European,28.95,33.49,9.9,9.12,13.2,57
Município,Bragança,2009,European,22.95,47.74,5.51,8.64,11.08,73
Município,Cabeceiras de Basto,2009,European,43.74,39.37,3.67,6,4.63,63.2
Município,Cadaval,2009,European,33.59,36.31,8.52,8.16,8.01,62.1
Município,Caldas da Rainha,2009,European,22.95,39.78,6.7,10.93,13.45,65.2
Município,Caminha,2009,European,31.34,37.4,8.46,6.26,11.79,64.5
Município,Campo Maior,2009,European,41.75,14.89,25.41,4.28,10.35,67.2
Município,Cantanhede,2009,European,24.62,47.93,4.59,8.7,9.69,68.1
Município,Carrazeda de Ansiães,2009,European,23.12,51.92,3.44,10.36,5.98,63.9
Município,Carregal do Sal,2009,European,25.93,46.94,3.65,11.91,8.16,69
Município,Cartaxo,2009,European,32.33,23.43,14.26,7.91,15.16,62.1
Município,Cascais,2009,European,24.97,33.14,9.46,12.12,12.95,62.3
Município,Castanheira de Pêra,2009,European,43.73,32.4,5.71,4.12,9.36,64.2
Município,Castelo Branco,2009,European,33.06,31.84,6.73,8.15,13.36,61.1
Município,Castelo de Paiva,2009,European,32.96,45.96,3.67,5.67,7.42,68.8
Município,Castelo de Vide,2009,European,35.15,32.39,11.27,5.04,10.01,57
Município,Castro Daire,2009,European,27.94,51.23,1.9,11.01,3.73,75.9
Município,Castro Marim,2009,European,35.11,35.67,6.85,5.45,11.69,68.4
Município,Castro Verde,2009,European,27.08,10.17,40.78,3.32,12.58,62.7
NUTS III,Cávado,2009,European,24.94,43.73,6.87,9.91,9.86,58.8
Município,Celorico da Beira,2009,European,27.66,44.12,3.62,9.42,11.18,65.6
Município,Celorico de Basto,2009,European,26.76,53.08,3.01,9.51,4.56,64.6
NUTS II,Centro,2009,European,26.86,39.54,7.51,9.42,11.17,64
Município,Chamusca,2009,European,31.32,19.19,24.57,7.37,10.51,64.1
Município,Chaves,2009,European,25.48,52.72,4.63,7.83,6.47,68
Município,Cinfães,2009,European,36.67,40.08,4.11,9.01,5.85,74.7
Município,Coimbra,2009,European,28.93,30.43,11.97,7.4,15.91,60.3
Município,Condeixa-a-Nova,2009,European,34.45,27.46,10.61,5.86,16.52,62.7
Município,Constância,2009,European,36.92,17.28,19.07,7.67,13.19,56.6
NUTS I,Continente,2009,European,28.78,33.13,11.68,8.98,11.74,62.2
Município,Coruche,2009,European,27.13,17.99,31.17,6.44,11.13,63.1
Município,Covilhã,2009,European,36.55,24.25,13.94,7.08,12.91,63.5
Município,Crato,2009,European,36.98,22.28,21.8,5.54,7.59,57.5
Município,Cuba,2009,European,33.61,9.92,45.2,3.34,5.06,52.6
NUTS III,Douro,2009,European,27.4,45.64,5.2,10.29,7.55,66.4
Município,Elvas,2009,European,36.7,24.68,9.41,10.58,11.94,72.5
Município,Entroncamento,2009,European,25.54,25.56,10.82,9.41,22.2,59
Município,Espinho,2009,European,28.87,33.82,12.26,8.73,10.95,54.3
Município,Esposende,2009,European,21.1,46.89,5.36,13.96,7.43,63.8
Município,Estarreja,2009,European,22.2,43.42,7.24,11.39,9.91,67.5
Município,Estremoz,2009,European,30.57,27.45,20.35,6.6,9.24,63.7
Município,Évora,2009,European,26.44,23.11,22.67,7.1,15.04,61.5
Município,Fafe,2009,European,40.85,33.05,6.71,7.59,7.92,60.2
Município,Faro,2009,European,26.19,28.75,11.36,8.99,17.96,65.1
Município,Felgueiras,2009,European,33.61,38.12,6.74,8.21,8.23,65.9
Município,Ferreira do Alentejo,2009,European,37.46,11.16,34.09,3.65,7.77,59.6
Município,Ferreira do Zêzere,2009,European,25.65,49.35,3.68,8.87,7.03,59.9
Município,Figueira da Foz,2009,European,29.92,31.35,9.86,7.35,15.16,66.8
Município,Figueira de Castelo Rodrigo,2009,European,29.79,52.87,3.15,5.52,5.08,64.1
Município,Figueiró dos Vinhos,2009,European,25.91,55.97,3.17,6.56,5.11,57.7
Município,Fornos de Algodres,2009,European,24.18,47.53,4.01,13.78,5.72,61.8
Município,Freixo de Espada à Cinta,2009,European,35.56,47.85,3.26,6.11,4.79,63
Município,Fronteira,2009,European,32.19,26.83,17.26,7.78,8.79,58.8
Município,Fundão,2009,European,33.54,34.97,7.02,7.2,11.25,67.5
Município,Gavião,2009,European,45.83,18.72,15.31,4.93,8.85,54.9
Município,Góis,2009,European,39.97,39.22,4.98,4.85,6.31,59.7
Município,Golegã,2009,European,26.03,22.94,20.45,11.04,12.08,63.7
