Location,Year,Company Type,Number of Companies,Productivity
Continente,2009,"Agriculture, farming, hunting, forestry and fishing",49076,9944.2
Norte,2009,"Agriculture, farming, hunting, forestry and fishing",11556,9143.3
Alto Minho,2009,"Agriculture, farming, hunting, forestry and fishing",912,8007.5
Arcos de Valdevez,2009,"Agriculture, farming, hunting, forestry and fishing",50,4664.8
Caminha,2009,"Agriculture, farming, hunting, forestry and fishing",113,6779.6
Melgaço,2009,"Agriculture, farming, hunting, forestry and fishing",25,4981.5
Monção,2009,"Agriculture, farming, hunting, forestry and fishing",40,8926.4
Paredes de Coura,2009,"Agriculture, farming, hunting, forestry and fishing",45,7132.8
Ponte da Barca,2009,"Agriculture, farming, hunting, forestry and fishing",28,9581.2
Ponte de Lima,2009,"Agriculture, farming, hunting, forestry and fishing",199,9014.7
Valença,2009,"Agriculture, farming, hunting, forestry and fishing",47,10056.9
Viana do Castelo,2009,"Agriculture, farming, hunting, forestry and fishing",328,7639.3
Vila Nova de Cerveira,2009,"Agriculture, farming, hunting, forestry and fishing",37,12081
Cávado,2009,"Agriculture, farming, hunting, forestry and fishing",1541,13030.5
Amares,2009,"Agriculture, farming, hunting, forestry and fishing",73,8535.8
Barcelos,2009,"Agriculture, farming, hunting, forestry and fishing",757,17755.4
Braga,2009,"Agriculture, farming, hunting, forestry and fishing",182,8662
Esposende,2009,"Agriculture, farming, hunting, forestry and fishing",377,7361.7
Terras de Bouro,2009,"Agriculture, farming, hunting, forestry and fishing",26,2241.2
Vila Verde,2009,"Agriculture, farming, hunting, forestry and fishing",126,9863.1
Ave,2009,"Agriculture, farming, hunting, forestry and fishing",726,11062.3
Cabeceiras de Basto,2009,"Agriculture, farming, hunting, forestry and fishing",53,8316.1
Fafe,2009,"Agriculture, farming, hunting, forestry and fishing",50,6741.4
Guimarães,2009,"Agriculture, farming, hunting, forestry and fishing",167,11784.7
Mondim de Basto,2009,"Agriculture, farming, hunting, forestry and fishing",29,6648.7
Póvoa de Lanhoso,2009,"Agriculture, farming, hunting, forestry and fishing",65,9038.3
Vieira do Minho,2009,"Agriculture, farming, hunting, forestry and fishing",32,8633.4
Vila Nova de Famalicão,2009,"Agriculture, farming, hunting, forestry and fishing",313,12992.2
Vizela,2009,"Agriculture, farming, hunting, forestry and fishing",17,10285.3
Área Metropolitana do Porto,2009,"Agriculture, farming, hunting, forestry and fishing",3329,10311
Arouca,2009,"Agriculture, farming, hunting, forestry and fishing",174,15389.3
Espinho,2009,"Agriculture, farming, hunting, forestry and fishing",29,11394.3
Gondomar,2009,"Agriculture, farming, hunting, forestry and fishing",135,4881.1
Maia,2009,"Agriculture, farming, hunting, forestry and fishing",165,10204.9
Matosinhos,2009,"Agriculture, farming, hunting, forestry and fishing",219,13267.5
Oliveira de Azeméis,2009,"Agriculture, farming, hunting, forestry and fishing",223,5989.2
Paredes,2009,"Agriculture, farming, hunting, forestry and fishing",76,4694.1
Porto,2009,"Agriculture, farming, hunting, forestry and fishing",288,9688.1
Póvoa de Varzim,2009,"Agriculture, farming, hunting, forestry and fishing",711,10834.2
Santa Maria da Feira,2009,"Agriculture, farming, hunting, forestry and fishing",108,-
Santo Tirso,2009,"Agriculture, farming, hunting, forestry and fishing",91,9660
São João da Madeira,2009,"Agriculture, farming, hunting, forestry and fishing",6,-
Trofa,2009,"Agriculture, farming, hunting, forestry and fishing",138,12541.5
Vale de Cambra,2009,"Agriculture, farming, hunting, forestry and fishing",50,9364.2
Valongo,2009,"Agriculture, farming, hunting, forestry and fishing",83,9627.9
Vila do Conde,2009,"Agriculture, farming, hunting, forestry and fishing",634,9688.3
Vila Nova de Gaia,2009,"Agriculture, farming, hunting, forestry and fishing",199,14104.4
Alto Tâmega,2009,"Agriculture, farming, hunting, forestry and fishing",645,5590.8
Boticas,2009,"Agriculture, farming, hunting, forestry and fishing",61,6631.7
Chaves,2009,"Agriculture, farming, hunting, forestry and fishing",173,7792.3
Montalegre,2009,"Agriculture, farming, hunting, forestry and fishing",178,2285.3
Ribeira de Pena,2009,"Agriculture, farming, hunting, forestry and fishing",40,4804
Valpaços,2009,"Agriculture, farming, hunting, forestry and fishing",107,4118.1
Vila Pouca de Aguiar,2009,"Agriculture, farming, hunting, forestry and fishing",86,8404.9
Tâmega e Sousa,2009,"Agriculture, farming, hunting, forestry and fishing",981,5733.3
Amarante,2009,"Agriculture, farming, hunting, forestry and fishing",167,6114
Baião,2009,"Agriculture, farming, hunting, forestry and fishing",58,-
Castelo de Paiva,2009,"Agriculture, farming, hunting, forestry and fishing",57,-
Celorico de Basto,2009,"Agriculture, farming, hunting, forestry and fishing",52,8428
Cinfães,2009,"Agriculture, farming, hunting, forestry and fishing",52,6869.2
Felgueiras,2009,"Agriculture, farming, hunting, forestry and fishing",118,8280.5
